NO,약국명,대표전화,주소,월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영
1,진메디칼약국,02-400-9240,"서울특별시 송파구 마천로57길 3, 1층 (마천동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-
2,아현종로약국,02-313-3400,"서울특별시 마포구 굴레방로9길 2, 1층 (아현동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~17:00,-,-
3,연세우리약국,02-2293-1339,"서울특별시 성동구 왕십리로 296-1, 조흥은행 (행당동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,09:00~13:00,09:00~21:00,09:00~21:00
4,아이사랑약국,02-802-1007,서울특별시 금천구 시흥대로 214 401호,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,09:00~21:00,09:00~17:00,10:00~16:00,-
5,경일약국,02-802-9104,"서울특별시 금천구 시흥대로72길 32, (시흥동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-
6,리엔약국,02-441-9377,"서울특별시 강동구 상일로 74, 상가2동 2층 203호 (상일동, 고덕리엔파크3단지아파트)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
7,밝은중앙약국,02-482-2621,서울특별시 송파구 강동대로 73 (풍납동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
8,서초민트약국,02-6369-0303,"서울특별시 서초구 사임당로 158, 리더스원 상가 303호 (서초동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30
9,성동온누리약국,02-2295-8810,"서울특별시 성동구 난계로 36, 1층 (금호동1가, 제일의원)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
10,솔약국,02-355-5304,"서울특별시 은평구 진관4로 77, 702동 113호 (진관동, 은평뉴타운상림마을)",09:00~19:00,09:00~20:00,09:00~13:00,09:00~19:00,09:00~19:00,09:00~17:00,-,-
11,수플러스약국,02-597-2021,"서울특별시 서초구 사임당로 158, 리더스원 상가 3층 306-2호 (서초동)",08:40~18:30,08:40~18:30,08:40~20:00,08:40~20:00,08:40~18:30,08:40~14:00,-,-
12,코끼리약국,02-442-4872,"서울특별시 강동구 고덕로 266, 고덕역 대명벨리온 1층 110호 (명일동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-
13,사당소화약국,02-521-3474,"서울특별시 동작구 동작대로 7, 1층 (사당동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,12:00~14:00
14,수약국,02-2666-8182,"서울특별시 강서구 방화동로 102, 103호 (방화동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~17:00,-,-
15,늘좋은약국,02-2244-2131,"서울특별시 동대문구 천호대로 319, 답십리한화오벨리스크 1층 102호 (답십리동)",08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,09:00~15:30,-,09:00~15:00
16,암사제일약국,02-3427-5855,"서울특별시 강동구 올림픽로98길 15, LS지산빌딩 1층 101,102호 (암사동)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,-,09:00~21:30
17,산소망약국,02-3663-1113,"서울특별시 강서구 화곡로63길 133, 1층 일부호 (등촌동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,-,-
18,셀약국,02-337-7959,"서울특별시 마포구 양화로 72, 1층 118호 (서교동)",09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,21:00~25:00,22:00~25:00
19,온누리진호약국,02-964-1944,서울특별시 성북구 돌곶이로 36-1 (석관동),08:30~20:40,08:30~20:40,08:30~20:40,08:30~20:40,08:30~20:40,08:30~16:00,-,-
20,삼전다정약국,02-421-7577,"서울특별시 송파구 삼전로 66, SM76(순명빌딩) 1층 (삼전동)",09:00~20:00,09:00~21:30,09:00~20:00,09:00~21:30,09:00~20:00,09:00~16:00,-,-
21,송도약국,02-908-4270,"서울특별시 강북구 도봉로 343, 야산빌딩 1층 (수유동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~20:00,10:00~18:30,-
22,서울온누리약국,02-839-0208,"서울특별시 관악구 난곡로 214, 1층 (신림동, 금정빌딩)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~15:00,-,-
23,선유도온누리약국,02-3667-3517,"서울특별시 영등포구 양평로 129 (양평동5가,1층)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
24,봄햇살약국,02-358-1773,서울특별시 은평구 통일로 833(대조동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-
25,위드팜삼정바로약국,02-738-8511,"서울특별시 종로구 경교장길 35, 3152,3153,3154호 (평동, 경희궁자이 3단지)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
26,광주참약국,02-756-3609,서울특별시 중구 퇴계로 45 (남창동),08:00~21:00,08:00~25:00,08:00~21:00,08:00~25:00,08:00~21:00,08:00~21:00,22:00~25:00,-
27,봄봄약국,02-932-3400,"서울특별시 노원구 동일로 1645, 바이크종합매장 A동 1층 (상계동)",09:00~20:00,09:00~21:00,09:00~20:00,09:00~21:00,09:00~20:00,09:00~17:00,-,-
28,메디팜숲약국,02-6409-7061,"서울특별시 서초구 바우뫼로35길 28, 1층 (양재동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-
29,아름약국,02-845-6546,"서울특별시 영등포구 영등포로 418-1, 해원빌딩 102호 (신길동)",09:00~19:00,09:00~12:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-
30,수약국,02-848-3294,서울특별시 영등포구 도신로 90 (신길동),08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~17:30,-,-
31,난곡프라자약국,02-851-1230,서울특별시 관악구 난곡로 219 (신림동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-
32,대호약국,02-939-8144,"서울특별시 노원구 한글비석로 384, 대호프라자 317호, 318호 (중계동)",08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,09:00~14:00,-,-
33,서초백화점약국,02-3474-7575,"서울특별시 서초구 효령로 279, 1층 (서초동, 상경빌딩)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-
34,아름약국,02-2273-0110,"서울특별시 중구 퇴계로46길 35, 1층 (묵정동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,-,-
35,평화약국,02-6339-3944,서울특별시 은평구 불광로 8 (대조동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,10:00~14:00,-
36,한결약국,02-2646-8842,"서울특별시 양천구 오목로 344 (목동, 청학빌딩)",08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~19:00,08:00~19:00,08:00~19:00
37,녹십자약국,02-533-5287,서울특별시 서초구 방배로25길 4,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,09:00~13:30,10:00~16:00,-
38,동인약국,02-872-0088,"서울특별시 관악구 인헌길 76, 1층 (봉천동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~17:00,-,-
39,마곡하나약국,02-3664-0319,"서울특별시 강서구 강서로 385, 106호 (마곡동, 우성에스비타워)",08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,09:00~18:00,09:00~21:30
40,위례푸른약국,02-449-7478,"서울특별시 송파구 위례광장로 193, 1층 (장지동)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,09:00~14:00,-,-
41,새생명약국,02-512-3389,서울특별시 강남구 삼성로146길 8 1층 (청담동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-
42,햇살온누리약국,02-401-6599,"서울특별시 동작구 상도로 345, 1층 (상도동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,10:00~18:00,-
43,다나스약국,02-836-1017,"서울특별시 영등포구 여의대방로 83, 1층 (신길동)",08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~14:30,10:00~14:00,10:00~14:00
44,레몬약국,02-391-0199,"서울특별시 서대문구 통일로 510, 상가동 지2층 107호 (홍은동, 북한산 더샵)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
45,서대문권약국,02-735-7735,"서울특별시 종로구 새문안로 15-1, 1층 (평동)",08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~14:00,-,-
46,솔약국,02-3662-8899,"서울특별시 강서구 양천로 564, 등촌동두산위브센티움 131호 (등촌동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:30,-,-
47,신세명약국,02-847-3058,"서울특별시 영등포구 도림로 208, 101호 (대림동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,08:30~21:30,10:00~20:00,08:30~22:00
48,이층약국,02-379-8540,"서울특별시 서대문구 홍은중앙로3길 9, 203호 (홍은동, 북한산 두산 위브)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
49,참조은약국,02-6397-6262,"서울특별시 노원구 상계로3길 10, 한일빌딩 106호 (상계동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,10:30~21:00,10:30~21:00,-
50,행복가득약국,02-336-3667,"서울특별시 서대문구 신촌로 73, 1층 (창천동, 거화빌딩)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,-,-,-
51,헬리오이화약국,02-409-3016,"서울특별시 송파구 송파대로 345, 1A동 1층 1002호 (가락동, 헬리오시티)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~18:00,09:00~14:00,09:00~14:00
52,홍제오늘약국,02-394-3430,"서울특별시 서대문구 통일로 460, 2층 (홍제동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
53,백십자약국,02-902-4097,서울특별시 강북구 인수봉로 192 (수유동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,-
54,서초사랑약국,02-581-6997,"서울특별시 서초구 사임당로 158, 리더스원 상가 3층 308호 (서초동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30
55,새암온누리약국,02-995-2552,"서울특별시 강북구 도봉로 308, 1층 (번동)",08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~18:00,-,-
56,사랑의약국,02-922-7111,"서울특별시 성북구 종암로 115, (종암동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~15:30,-,-
57,건대역2번출구약국,02-461-8255,"서울특별시 광진구 아차산로 243, 2호선 건대입구역 2층 005호 (화양동)",08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,09:00~23:00,09:00~23:00
58,늘좋은약국,02-6013-6056,"서울특별시 광진구 능동로 288, 1층 (능동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,-,-
59,새수정온누리약국,02-446-3116,"서울특별시 광진구 용마산로 5, 명클리닉 1층 101호 (중곡동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:00,-,-
60,용마약국,02-447-9621,"서울특별시 광진구 자양로 201, 항석빌딩 1층 (구의동)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~18:00,-,-
61,원약국,02-468-8797,"서울특별시 광진구 아차산로 229, 한림타워 1층 103호 (화양동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-
62,파랑새약국,02-743-7735,"서울특별시 종로구 대학로 121, 1호, 2호 (명륜4가)",08:30~22:50,08:30~22:50,08:30~22:50,08:30~22:50,08:30~22:50,08:30~22:50,14:00~22:50,14:00~22:50
63,운산약국,02-983-1003,서울특별시 강북구 도봉로 260 (미아동),08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:30,-,-
64,팜코리아약국,02-424-6167,서울특별시 송파구 가락로 99 (석촌동),08:50~21:30,08:50~21:30,08:50~21:30,08:50~21:30,08:50~21:30,08:50~21:30,-,-
65,코앞약국,02-523-1440,"서울특별시 서초구 효령로 406, LG전자대리점 1층 1호 (서초동)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~14:00,-,-
66,소나무약국,02-6393-5567,"서울특별시 마포구 월드컵북로 402, 케이지아이티센터 102호 (상암동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:30~15:00,-,-
67,매일약국,02-6407-0397,"서울특별시 관악구 인헌길 39, 법향빌 1층 (봉천동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-
68,소담약국,02-304-0779,"서울특별시 마포구 성암로 179, 한샘상암 1층 (상암동)",08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,14:00~15:00,-,-
69,완약국,070-4235-4395,"서울특별시 서대문구 세검정로1길 115, (홍은동)",05:30~19:30,05:30~19:30,05:30~19:30,05:30~19:30,05:30~19:30,06:30~19:00,06:30~19:00,-
70,비타민약국,02-713-6563,"서울특별시 마포구 백범로 90, 1층 (대흥동)",08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~17:30,-,-
71,그린약국,02-581-4925,"서울특별시 서초구 효령로 394, (서초동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,09:00~14:00
72,목동약국,02-2697-0543,"서울특별시 양천구 오목로 232, 112호 (신정동, 보성상가)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,-
73,힐링약국,02-797-1175,"서울특별시 용산구 신흥로 53, 1층 (용산동2가)",08:45~19:00,08:45~19:00,08:45~19:00,08:45~19:00,08:45~19:00,08:45~13:00,-,-
74,새건영약국,02-404-9960,"서울특별시 송파구 새말로8길 6, 1층 (문정동, 광덕빌딩)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-
75,건우약국,02-364-4520,"서울특별시 마포구 마포대로 205-1, (아현동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,10:00~22:00
76,장미미소약국,02-412-4962,"서울특별시 송파구 올림픽로35길 112, 제2동 3층 20호 (신천동, 장미아파트 비상가)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,-,-
77,친절한약국,02-907-1150,"서울특별시 강북구 도봉로 325, 4층 (수유동, 수성타워)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-
78,마프자서울약국,02-711-3119,"서울특별시 마포구 대흥로24길 24, 상가A동 206호 (염리동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-
79,한누리약국,02-736-7980,"서울특별시 종로구 새문안로5가길 33, 한누리빌딩 1층 (내자동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-
80,튼튼약국,02-2664-0929,"서울특별시 강서구 공항대로 103, 1동 205호 (마곡동)",09:00~18:30,09:00~18:30,09:00~18:00,09:00~18:30,09:00~18:30,09:00~13:00,-,-
81,솔약국,02-523-6875,"서울특별시 서초구 효령로 237, 103-1호 (서초동, 서초한신리빙타워)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-
82,정다운온누리약국,02-437-3253,서울특별시 중랑구 용마산로51길 52 (면목동),08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~17:00,-,-
83,클래시안약국,02-6368-7490,"서울특별시 영등포구 신길로28길 9, B1층 1호 (신길동, 힐스테이트 클래시안)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,09:00~13:00,-
84,부자약국,02-809-8361,서울특별시 금천구 범안로 1183 (독산동),08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~15:00,-,08:30~15:00
85,더튼튼약국,02-999-0105,"서울특별시 도봉구 노해로65길 10, 1층 (창동)",09:00~21:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~21:00,09:00~16:00,09:00~14:00,09:00~14:00
86,봄약국,02-3487-3414,"서울특별시 서초구 서초중앙로8길 13, 아진빌딩 1층 (서초동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-
87,마곡나루약국,070-4352-4547,"서울특별시 강서구 마곡서로 157, 스프링파크타워 208-2호 (마곡동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-
88,양월약국,02-2226-5987,"서울특별시 강남구 개포로82길 13-11, 105호 (개포동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,09:00~19:00,-
89,1층메디컬약국,02-891-1112,"서울특별시 금천구 시흥대로 214, 비즈메드빌딩 1층 102호 (시흥동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:30,09:00~20:00,09:00~15:30,10:00~16:00,09:00~13:30
90,삼평약국,070-4115-8773,"서울특별시 동작구 상도로 102, 성대시장 2층 203호 (상도동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
91,릴리약국,02-511-5630,"서울특별시 서초구 강남대로 563, 1층 (잠원동)",09:00~20:00,09:00~20:00,09:00~19:00,09:00~20:00,09:00~21:00,09:00~18:00,-,-
92,튼튼약국,02-704-5921,"서울특별시 마포구 대흥로24길 24, A동 B2층 203호 (염리동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
93,유연약국,02-2297-9733,"서울특별시 성동구 왕십리로 410, 상가 L동 3층 318호 (하왕십리동, 센트라스)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-
94,행복이가득한약국,02-865-4703,서울특별시 관악구 남부순환로 1443 (신림동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,10:30~17:00,-
95,강동포도약국,02-423-3005,서울특별시 강동구 진황도로 74 (천호동),08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,09:00~15:00,-,-
96,헬로팜약국,02-415-1121,"서울특별시 송파구 올림픽로12길 5, 정호빌딩 (잠실동)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,13:00~22:00,13:00~22:00
97,완미약국,02-457-3583,"서울특별시 광진구 자양로 194, (구의동)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,16:00~23:00,16:00~23:00
98,참약국,02-422-8408,"서울특별시 송파구 올림픽로35가길 9, 219호 (신천동, 잠실 푸르지오 월드마크)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~19:00,09:00~14:00,-,-
99,혜원약국,02-469-3151,서울특별시 광진구 면목로 173,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-
100,불광프라자약국,02-388-1222,서울특별시 은평구 불광로 17 (대조동),08:30~16:00,08:30~16:00,08:30~16:00,08:30~16:00,08:30~16:00,-,-,-
